Leeftijd (op 31 december);Perioden;Mannen;Vrouwen
40;2015;0.00098;0.00052
40;2016;0.00073;0.00071
40;2017;0.00078;0.00061
40;2018;0.00074;0.00059
40;2019;0.00082;0.00062
41;2011;0.00089;0.00077
41;2012;0.00109;0.00082
41;2013;0.00108;0.00063
41;2014;0.00092;0.00076
41;2015;0.00091;0.00072
41;2016;0.001;0.00072
41;2017;0.0009;0.00057
41;2018;0.00095;0.00057
41;2019;0.0011;0.00062
42;2011;0.00128;0.001
42;2012;0.00117;0.00086
42;2013;0.00101;0.00084
42;2014;0.00103;0.00089
42;2015;0.00103;0.00073
42;2016;0.00106;0.00059
42;2017;0.00102;0.00082
42;2018;0.00104;0.00089
42;2019;0.001;0.00066
43;2011;0.00103;0.00097
43;2012;0.00114;0.00093
43;2013;0.00132;0.00082
43;2014;0.00112;0.00093
43;2015;0.00119;0.00089
43;2016;0.00134;0.00076
43;2017;0.00117;0.00089
43;2018;0.00116;0.00073
43;2019;0.00126;0.00078
44;2011;0.00136;0.00107
44;2012;0.00128;0.00103
44;2013;0.00124;0.00094
44;2014;0.00146;0.00089
44;2015;0.00124;0.00102
44;2016;0.00131;0.00093
44;2017;0.00142;0.00095
44;2018;0.00122;0.00102
44;2019;0.00125;0.00093
45;2011;0.00142;0.00134
45;2012;0.00141;0.00114
45;2013;0.00135;0.00103
45;2014;0.00145;0.00119
45;2015;0.0012;0.00103
45;2016;0.00175;0.00107
45;2017;0.00136;0.00094
45;2018;0.00151;0.00095
45;2019;0.00144;0.00093
46;2011;0.00172;0.00134
46;2012;0.00158;0.00138
46;2013;0.00129;0.00129
46;2014;0.00151;0.00127
46;2015;0.00175;0.00113
46;2016;0.00149;0.00119
46;2017;0.00147;0.00108
46;2018;0.00132;0.00121
46;2019;0.00127;0.00124
47;2011;0.00186;0.00168
47;2012;0.00191;0.00179
47;2013;0.00187;0.0015
47;2014;0.00162;0.00143
47;2015;0.00166;0.00135
47;2016;0.00179;0.00133
47;2017;0.0018;0.00126
47;2018;0.00173;0.00126
47;2019;0.00161;0.00113
48;2011;0.00211;0.00188
48;2012;0.00199;0.00172
48;2013;0.002;0.00158
48;2014;0.00223;0.00135
48;2015;0.00195;0.00165
48;2016;0.00186;0.00156
48;2017;0.00192;0.00151
48;2018;0.00208;0.00126
48;2019;0.00173;0.00125
49;2011;0.00242;0.00193
49;2012;0.00225;0.00196
49;2013;0.00201;0.00186
49;2014;0.00223;0.00182
49;2015;0.00211;0.00146
49;2016;0.00195;0.0015
49;2017;0.00221;0.00168
49;2018;0.00202;0.0014
49;2019;0.00198;0.00134
50;2011;0.00257;0.00225
50;2012;0.00275;0.00206
50;2013;0.0025;0.00209
50;2014;0.00242;0.00187
50;2015;0.00255;0.00199
50;2016;0.00216;0.00193
50;2017;0.00205;0.00178
50;2018;0.00186;0.00169
50;2019;0.00225;0.00156
51;2011;0.00301;0.00239
51;2012;0.00284;0.0024
51;2013;0.00291;0.00208
51;2014;0.00255;0.00227
51;2015;0.0026;0.00218
51;2016;0.00241;0.00223
51;2017;0.00252;0.00194
51;2018;0.00252;0.00191
51;2019;0.00249;0.00178
52;2011;0.00314;0.00268
52;2012;0.00318;0.00235
52;2013;0.00334;0.0024
52;2014;0.00283;0.00227
52;2015;0.00308;0.00224
52;2016;0.00289;0.00243
52;2017;0.00269;0.00193
52;2018;0.00292;0.00222
52;2019;0.00281;0.00226
53;2011;0.00333;0.00312
53;2012;0.00363;0.00312
53;2013;0.00358;0.00276
53;2014;0.0034;0.00273
53;2015;0.00322;0.00258
53;2016;0.00317;0.0028
53;2017;0.00324;0.00244
53;2018;0.00279;0.00227
53;2019;0.00287;0.00236
54;2011;0.00404;0.00313
54;2012;0.00383;0.00303
54;2013;0.00383;0.00309
54;2014;0.00417;0.00277
54;2015;0.00356;0.00279
54;2016;0.00365;0.00293
54;2017;0.00349;0.00278
54;2018;0.00357;0.00254
54;2019;0.00312;0.00245
55;2011;0.00419;0.00372
55;2012;0.00458;0.00333
55;2013;0.00431;0.00321
55;2014;0.00416;0.00322
55;2015;0.00405;0.0034
55;2016;0.004;0.00327
55;2017;0.00409;0.00312
55;2018;0.00378;0.00314
55;2019;0.00371;0.00269
56;2011;0.0052;0.0041
56;2012;0.00473;0.00359
56;2013;0.00498;0.00378
56;2014;0.00448;0.00345
56;2015;0.0045;0.00349
56;2016;0.00479;0.00337
56;2017;0.00408;0.00341
56;2018;0.004;0.00312
56;2019;0.00413;0.00319
57;2011;0.00572;0.00387
57;2012;0.00567;0.00412
57;2013;0.00553;0.00401
57;2014;0.00499;0.00382
57;2015;0.00482;0.00386
