Duur;Perioden;Aantal
62;2017;6651
62;2018;7113
62;2019;7981
62;2020;8825
63;2011;3538
63;2012;3185
63;2013;3248
63;2014;3537
63;2015;4327
63;2016;4604
63;2017;4798
63;2018;5349
63;2019;5710
63;2020;6498
64;2011;2923
64;2012;2756
64;2013;2462
64;2014;2485
64;2015;2747
64;2016;3394
64;2017;3593
64;2018;3768
64;2019;4095
64;2020;4510
65;2011;1481
65;2012;2217
65;2013;2067
65;2014;1850
65;2015;1891
65;2016;2089
65;2017;2579
65;2018;2704
65;2019;2847
65;2020;3128
66;2011;717
66;2012;1115
66;2013;1631
66;2014;1542
66;2015;1387
66;2016;1373
66;2017;1514
66;2018;1921
66;2019;1982
66;2020;2113
67;2011;616
67;2012;533
67;2013;795
67;2014;1149
67;2015;1105
67;2016;1003
67;2017;988
67;2018;1121
67;2019;1366
67;2020;1433
68;2011;588
68;2012;420
68;2013;357
68;2014;562
68;2015;816
68;2016;760
68;2017;716
68;2018;660
68;2019;773
68;2020;928
69;2011;227
69;2012;401
69;2013;277
69;2014;255
69;2015;359
69;2016;557
69;2017;505
69;2018;481
69;2019;459
69;2020;504
70;2011;144
70;2012;140
70;2013;247
70;2014;171
70;2015;170
70;2016;219
70;2017;345
70;2018;322
70;2019;309
70;2020;287
Bron: CBS;;
